mau1.wav|Xin chào, tôi là giọng đọc mẫu dành cho huấn luyện mô hình tiếng Việt.
mau2.wav|Hôm nay trời thật đẹp, phải không nào?
mau3.wav|Chúng ta hãy cùng nhau khám phá trí tuệ nhân tạo.
mau4.wav|Giọng nói tự nhiên giúp nội dung trở nên sinh động hơn.
mau5.wav|Bạn có thể sử dụng tôi để tạo video, thuyết minh, hoặc đọc truyện.
mau6.wav|Thời tiết ở Hà Nội hôm nay khá dễ chịu.
mau7.wav|Tôi thích nghe nhạc và đọc sách vào buổi tối.
mau8.wav|Chúc bạn có một ngày làm việc hiệu quả và tràn đầy năng lượng.
mau9.wav|Đây là một ví dụ khác để mô hình học cách ngắt nghỉ tự nhiên.
mau10.wav|Xin cảm ơn vì đã lắng nghe tôi đọc thử.
mau11.wav|Giọng đọc tự nhiên cần sự luyện tập và tinh chỉnh.
mau12.wav|Bạn đang nghe bản ghi âm thứ mười hai trong tập huấn luyện.
mau13.wav|Trí tuệ nhân tạo đang ngày càng phát triển mạnh mẽ.
mau14.wav|Công nghệ chuyển văn bản thành giọng nói thật sự rất thú vị.
mau15.wav|Xin chào, hẹn gặp lại bạn trong bản ghi tiếp theo.
mau16.wav|Bạn có bao giờ tự hỏi trí tuệ nhân tạo hoạt động như thế nào chưa?
mau17.wav|Xin vui lòng giữ bình tĩnh và làm theo hướng dẫn.
mau18.wav|Tôi đang thử nghiệm khả năng đọc các con số: một, hai, ba, bốn, năm.
mau19.wav|Thành phố Hồ Chí Minh là trung tâm kinh tế lớn của Việt Nam.
mau20.wav|Đây là câu kiểm tra độ cao và độ trầm trong giọng nói.
mau21.wav|Cảm xúc là yếu tố quan trọng trong giao tiếp tự nhiên.
mau22.wav|Hãy thử tưởng tượng, nếu máy tính có thể nói như con người.
mau23.wav|Tôi thích học những điều mới mỗi ngày.
mau24.wav|Nhiệt độ hôm nay khoảng ba mươi hai độ C.
mau25.wav|Cảm ơn bạn đã dành thời gian lắng nghe tôi.
mau26.wav|Chào mừng bạn đến với bản thử nghiệm tiếp theo.
mau27.wav|Giọng nói này được tạo ra hoàn toàn bằng trí tuệ nhân tạo.
mau28.wav|Chúng ta hãy bắt đầu bài đọc mới ngay bây giờ.
mau29.wav|Tôi sẽ cố gắng phát âm thật tự nhiên và chính xác.
mau30.wav|Cảm ơn vì đã đồng hành cùng dự án này.
